no_ticket;title;body;created_on;ticket_status
10013;laptop and credentials;re credentials hello please entire cycle knowledge transfer completed leaver hardware retrieval wipe by period her engagement thank much regards engineer ext october credentials importance high hi agreed phone thursday has returned moment she come back days starting october rd knowledge transfer lead her stay locked her credentials stay active meantime best director;25/12/2022 08:00;Resolved
10014;new starter ion tower;friday pm re starter discipline dear which covers position rise other mentioned roles covered by please let questions kind regards officer re starter discipline hello prepare replacement leave ext date friday pm re starter discipline dear please informed developer needs thank date thursday pm assistants starter discipline good afternoon please informed starter discipline engineer please create his credentials per attached form thank best officer;25/12/2022 08:30;Resolved
10015;list of current active;tuesday pm active dear about providing active also assign directly best regards engineer;25/12/2022 09:00;Resolved
10016;us adapter;adapter dear near future going please help plug adapter thanks senior software developer;25/12/2022 09:30;Resolved
10017;extra disks external hardware;july disks hi disks too works large files currently doing investigated options discussed quickest way more disk procure disks order disks please allocated thanks lot;25/12/2022 10:00;Resolved
10018;new starter;february starter form hello please help by filling out starter form thank ext;25/12/2022 10:30;Resolved
10019;po;pm good evening monitor has present under please log added growth present under her user name then believe growth please needed thank administrator phone;25/12/2022 11:00;Resolved
10020;access for;tuesday november pm wireless passwords change hi please log maybe provide location she needs passwords layouts source view type name thank november re wireless passwords change hi error accrues link re wireless passwords change location layouts source view type name file passwords file also protected please receive errors phone thank;25/12/2022 11:30;Closed
10021;card leaver;thursday pm re card leaver bun dup mas pl cut tower rom confidentiality notice content communication represents confidential proprietary information please consider environment printing thursday pm card leaver la ultima;25/12/2022 12:00;Resolved
10022;access to to resources;wednesday resources hi guys please provide per attached particularly important confluence thanks information confidential legally privileged intended solely addressee opinions expressed mine necessarily represent opinions susceptible interference intended recipient disclosure copying action taken omitted taken reliance strictly prohibited unlawful received error attachments please notify;25/12/2022 12:30;Closed
10023;new starter keys;urgent contractor please note urgently create starter commencing tomorrow asap please note details name job title modeller date tuesday date friday march grade discipline location imperative he log tomorrow morning he starts sincere apologies short notice told today thanks mobility officer re urgent contractor importance high sorry please ensure receives possible give much possible afternoon create thanks mobility officer urgent contractor importance high hi please add contractor distribute completion asap move promptly ensure he has he starts tomorrow informed today he commencing tomorrow name job title modeller date tuesday date friday march grade discipline location thanks mobility officer;25/12/2022 13:00;Closed
10024;java update;wednesday pm update hi update thanks director;25/12/2022 13:30;Closed
10025;win;friday july win win va ca se voice calls si si tine cut backup la date;25/12/2022 14:00;Closed
10026;line manager change issue;line manager change issue hello can you please help resolve issue being able change line manager for for more details please attached thank you very much best regards manager;25/12/2022 14:30;Closed
10027;leaver check;hi forwarder leaver mailbox did leaver roaming profile did leaver ad rights did leaver other confluence personal mailbox note mailbox receive messages;25/12/2022 15:00;On-Progress
10028;service now account for;wednesday pm hello please create same level thanks technical leader;25/12/2022 15:30;Closed
