title;body;created_on;ticket_status
notebook charger needed;notebook charger needed hello charger notebook today please assign thanks;27/12/2022 08:05;Resolved
us all staff list;hello please best;27/12/2022 08:15;Closed
name change to;thursday pm name change hello recently got married please change name thank great accounts payable;27/12/2022 08:25;Closed
service now notification;sent thursday notification hi we keep receiving requests have assigned queue but there none received requests assigned also there re double mails sent for same request incident plus come you regarding request itself bit confusing manage such bunch mails there way setting by notification only would be sent for each request incident thank you much for your kind regards applications analyst en;27/12/2022 08:35;Closed
new starter;wednesday november hello va date administration officer;27/12/2022 08:45;Closed
name change request ad to;wednesday name change hi please kind change name further assistance needed let thanks;27/12/2022 08:55;Closed
line manager changes;thursday pm changes importance high hi please change follows myself errors kind regards;27/12/2022 09:05;Closed
account;sent thursday february hello please be advised does show up address book there also incorrect was created for her needs be deleted could you please assist thanks kind regards infrastructure manager;27/12/2022 09:15;Closed
bug hunting teams;hunting teams hi dear please thank best wishes engineer wednesday pm hunting teams hi please create users by please user rights comments record issues cannot other issues logged by other users record issues cannot other issues logged by other users record issues cannot other issues logged by other users record issues cannot other issues logged by other users record issues cannot other issues logged by other users record issues cannot other issues logged by other users issues logged by regards pm hunting teams hello please find teams hunting competition teams name members spice bugs fbi five investigators mentor mentor intern intern release coming detectives;27/12/2022 09:25;Closed
access via to;via hello mr member internship program granted resources via especially which works site training tasks interns same problem via provide members internship program thank kind regards testing intern;27/12/2022 09:35;Closed
request for information;wednesday november assigned hi guys received application about validity content she confirmed caught eye valid certificate application requested enter once again credentials although connected internally thanks tuesday november pm assigned dear assigned starting issued by reason eel please link inside please eel thank eel;27/12/2022 09:45;Closed
enable account;re timecard dear returned work today please activate his accounts accesses thank lead wednesday pm re timecard hi unpaid leave registered submitting timecards added help since handle aspect thank lead wednesday pm timecard hello please help enter save submit timecard per details code task unpaid leave note changes thank;27/12/2022 09:55;Closed
laptop cooler request;hi enough coolers supplying user cooler thanks clarification engineer ext july re cooler hi la large number coolers once growth macedonia did change meantime purchase these by far remember allocation performed provide user item reason item unavailability supplier prefer buffer thanks administrator phone tuesday july cooler hello please advise assign cooler advise user best regards analyst ext hub july pm cooler dear order cooler please create thank regards;27/12/2022 10:05;Closed
access to;wednesday dear please provide next person thank senior tester;27/12/2022 10:15;Closed
maintenance work;wednesday work client va care va loc romanian minute leased terminal center terminal marsh wall sovereign sd va legate ne nouveau center fax dear receiving planned operation window work romanian impact duration minutes affected circuits leased terminal center terminal marsh wall sovereign sd reference work please number future correspondence about issue apologize inconvenience cause respectfully submitted nouveau center rd phone fax attachments confidential privileged attachments multiplied writing agreement received by mistake please notify by return delete unauthorized dissemination whole part strictly prohibited please note mails susceptible change shall liable improper incomplete transmission information contained communication nor delay receipt damage;27/12/2022 10:25;Closed
name change;thursday july pm name change hi please change name great;27/12/2022 10:35;Closed
approvals;november pm approvals hi guys please change flows holidays etc instead thanks ext mob;27/12/2022 10:45;Closed
access to confluence for;tuesday july pm confluence hi joining please him confluence thanks;27/12/2022 10:55;Closed
suspend access card for maternity leaver;advised maternity leave;27/12/2022 11:05;Closed
contact mail user account request com;credentials hi please confluence credentials thank respectfully;27/12/2022 11:15;Closed
account change;change hello please log assign regards senior engineer friday pm change hello contract has raised contract id think change instead because old which exist anymore thank officer ext blvd;27/12/2022 11:25;Closed
new starter access card enabling tower;pm assistants starter dear please informed candidate accepted job offer become cl please create his accounts credentials per attached form thanks specialist registered under number whose registered old broad street kingdom provide clients each;27/12/2022 11:35;Closed
new team member;member hi please add also he needs his badge secure thank senior;27/12/2022 11:45;Closed
need for a laptop for days;days hi guys please help out client workshop next two days thanks;27/12/2022 11:55;Closed
buyer user role oracle for;wednesday pm re credentials importance high dear please help creating buyer user role needing him create advances expense reports starting next thank specialist wednesday pm re credentials please proceed possible user buyer thank wednesday pm credentials hello colleagues added yet needing create advances expense reports starting next please approve take thanks specialist;27/12/2022 12:05;Closed
please action direct reports missing time;wednesday pm please action reports dear part established processes each required submit his weekly basis each friday past must submitted receiving because reports haven followed process please help cascade accordingly gets possible breakdown reports please note refers has left maternity other absence leave please update person record otherwise please person directly submit country date total days;27/12/2022 12:15;Closed
oracle question;thursday december re question hi please ignore found under about instead please reassign expense report thank analysis lead thursday december question hi please help find expense functionalities anymore analysis lead;27/12/2022 12:25;Resolved
new pas adding team member issue;member issue hi please help issue member per thank senior;27/12/2022 12:35;Resolved
access for account;tuesday pm hello please provide thank engineer;27/12/2022 12:45;On-Progress
